name,source_prompt, target_prompts
puppies, Two adorable golden retriever puppies sitting in a grassy field, Two adorable husky puppies sitting in a grassy field
rabbit, A small brown and white rabbit sitting in a grassy field, A small sculpture of a rabbit sitting in a grassy field
rocks, A stack of gray rocks laying on top of each other on a brown and gray beach, A stack of colorful macarons laying on top of each other on a brown and gray beach
rooster, A large colorful rooster standing on a tree branch, A large colorful glass sculpture of a rooster standing on a tree branch
sign, A large white billboard with a bold message written in black letters that reads "LOVE IS ALL YOU NEED", A large white billboard with a bold message written in black letters that reads "FLOW IS ALL YOU NEED"
steak, A steak accompanied by a side of leaf salad, A lobster tail accompanied by a side of leaf salad
stop_arrow, A stop sign above a blue sign with arrow pointing up, A sign that says HOME above a blue sign with arrow pointing up
stop_stikcer, A STOP! sticker with a red and yellow color scheme which is placed on a white background, A ECCV! sticker with a red and yellow color scheme which is placed on a white background
stop, A stop sign prominently placed in a field of yellow flowers, A sign that says CVPR prominently placed in a field of yellow flowers
this_must_be_the_place, A large colorful wall with a neon sign that reads "this must be the place", A large colorful wall with a neon sign that reads "cvpr must be the place"
tiger, A large tiger standing in a swamp, A large wolf standing in a swamp
tree_reflect, A lone tree standing in a field at night, A lone cherry blossom tree standing in a field at night
wolf_silhouette, A silhouette of a wolf standing on a rocky cliff looking up at the moon, A Husky dog standing on a rocky cliff
yellow_buldog, A small yellow shiny dog figurine positioned in the center of the scene, A small yellow lion figurine positioned in the center of the scene
